""	"CD2"	"CD3D"	"CD14"	"S100A8"	"GZMA"	"NKG7"	"CD79A"	"IL6"
"Cell_01"	6	26	0	1	0	1	0	35
"Cell_02"	8	30	1	0	1	0	1	38
"Cell_03"	10	29	0	0	0	0	0	36
"Cell_04"	7	26	0	1	0	0	0	33
"Cell_05"	9	27	1	0	0	0	0	31
"Cell_06"	11	25	0	0	0	0	1	2
"Cell_07"	9	22	1	1	0	1	0	1
"Cell_08"	9	24	0	1	0	0	0	1
"Cell_09"	12	30	0	1	1	0	0	0
"Cell_10"	10	28	0	1	1	1	1	3
"Cell_11"	2	9	18	155	0	2	0	0
"Cell_12"	1	8	22	128	1	1	1	0
"Cell_13"	1	6	19	134	0	0	0	1
"Cell_14"	0	2	24	143	0	0	0	0
"Cell_15"	2	5	20	160	1	0	1	0
"Cell_16"	3	13	1	2	20	171	0	0
"Cell_17"	2	14	0	0	18	152	0	1
"Cell_18"	0	11	2	1	28	175	1	0
"Cell_19"	1	10	0	0	25	160	0	0
"Cell_20"	0	12	0	0	20	150	0	1
"Cell_21"	2	7	0	1	0	2	30	2
"Cell_22"	1	4	1	0	1	0	49	1
"Cell_23"	0	5	1	1	0	0	62	0
"Cell_24"	1	6	1	0	1	1	50	0
"Cell_25"	3	3	0	0	0	0	70	0
